loop_id,node_count,edge_count,total_transaction_amount,avg_transaction_amount,max_transaction_amount,min_transaction_amount,transaction_count,earliest_transaction_date,latest_transaction_date,time_span_days,has_bidirectional_edges,partner_count,shareholder_count,member_company_count,cross_holding_count,max_edge_count_between_nodes
1,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
2,5,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
3,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
4,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,1,0,1
5,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
6,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
7,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,1,0,1
8,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
9,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
10,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,1,0,1
11,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
12,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
13,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
14,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
15,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
16,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
17,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
18,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
19,5,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
20,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
21,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
22,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
23,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
24,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
25,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
26,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,1,0,1
27,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
28,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,1,0,1
29,5,0,0.0,0.0,0.0,0.0,0,,,0,False,0,1,0,0,1
30,4,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
31,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
32,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
33,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
34,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
35,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
36,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
37,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
