feature,non_null_count,unique_values,mean,std,min,max
total_transaction_amount,25235,8125,164729591.74477112,421487236.7060573,59887.072014,8331000262.02
upstream_to_member_transaction_amount,25235,1145,88434871.68206899,375230530.9662094,0.0,7605754362.02
upstream_to_member_transaction_count,25235,29,4.026312660986725,4.240503605093185,0.0,32.0
member_to_downstream_transaction_amount,25235,685,76294720.06270212,190699107.39705154,0.0,4107747893.83
member_to_downstream_transaction_count,25235,18,4.281949673073113,4.076101621110683,0.0,17.0
upstream_to_member_avg_amount,25235,1144,19170981.490629394,29705175.608866908,0.0,507050290.80133337
member_to_downstream_avg_amount,25235,684,23264984.571089063,50886535.78132047,0.0,315980607.2176923
loop_complexity_score,25235,5,51.156251238359424,12.796916519883476,16.0,64.0
total_ownership_percent,25235,11440,1.7640993461462253,1.054247399409368,0.0,6.0
ownership_count,25235,11,4.867644145036656,1.4081186974142081,1.0,11.0
enterprise_count,25235,10,4.814781058054289,1.4126755332964032,0.0,9.0
avg_degree,25235,212,4.802702595601347,2.6164437154079643,1.0,25.5
upstream_to_member_transaction_amount_log,25235,1144,16.836801604353447,2.223178938968242,0.0,22.752170950771895
member_to_downstream_transaction_amount_log,25235,685,16.439562881036817,3.5014718493407333,0.0,22.13614075780871
upstream_to_member_avg_amount_log,25235,1144,15.908492361075867,1.9762483312036212,0.0,20.044120751510395
loop_type_category_zscore,25235,4,9.348135061317744e-17,1.0000198143395709,-0.9163192582088306,2.3328587016365803
enterprise_ratio_zscore,25235,24,7.729105645577472e-16,1.0000198143396006,-6.299191797657726,1.7463571249866263
unknown_type_count_sqrt_zscore,25235,4,-5.045740370446204e-16,1.000019814339572,-2.827678963892929,1.2272836183400588
max_ownership_percent_robust,25235,397,-1.1163193173112829,2.095402958155885,-6.5832784726793925,0.0
max_betweenness_centrality_robust,25235,57,0.09938660507315167,1.2180278827906563,-2.2191142191142195,10.822843822843826
max_closeness_centrality_robust,25235,61,0.22710472044214888,1.3207608288297037,-3.4828060522696016,7.407152682255847
upstream_downstream_amount_log_ratio,25235,8124,0.39723872331663057,4.276695010441817,-17.16950164347556,21.966809041797102
upstream_concentration,25235,7663,0.5071315653771759,0.3398100112946096,0.0,1.0
theoretical_max_edges_ratio,25235,303,16.551335652863084,8.36272655999706,2.4000000000000004,64.0024
amount_cv,25235,8123,2.6182814958773375,0.45517204885308105,2.018433173657372,4.690405778751491
amount_kurtosis,25235,7732,5.234288410089256,2.5071006739501907,2.491205226627451,17.047619047543986
centrality_mean,25235,2748,0.31542965398897527,0.5194368799863341,-0.8741856346557686,4.039059837875337
centrality_max_min_diff,25235,1453,2.977516187962852,1.3358807410545042,1.457431398718077,16.166600000000003
ownership_entropy,25235,11988,-10.468384136313807,52.010251687538556,-395.40039112860546,2.609936188235526
amount_q25,25235,7125,-0.10141698649271401,0.16585648589621987,-0.4429235365520883,3.6257165034592918
amount_q75,25235,8124,47.60083572002974,149.27375536531648,6.593387220952834e-05,11064.245294565259
centrality_q25,25235,895,-0.13832901225471403,0.37228389906134124,-1.6991790863052194,0.8882931188561215
centrality_q75,25235,1242,0.6074766459716737,0.587060897873001,0.043803485254691694,5.617066823489914
centrality_iqr,25235,2384,0.7458056582263878,0.43857596334980953,0.1662496114810274,5.516483110353184
high_amount_high_ownership,25235,10089,130667993.20612916,353074337.1828436,0.0,8294495596.88
amount_ownership_rank_diff,25235,9631,0.3241030238092032,0.22735557113068722,9.906875371501478e-05,0.9826233405983753
dense_network_high_amount,25235,13473,7.770354953244853,5.847435889046659,1.1192566163632873,75.98478755901142
complex_concentrated_control,25235,8586,82.7317722250842,63.90450831700573,0.0,384.0
transaction_intensity,25235,118,1.2141684829271515,0.9278402200127593,0.125,8.0
total_transaction_amount_log_squared,25235,8124,331.5659566177947,42.976652814207206,121.00511797178973,521.8140415748924
network_density_squared,25235,221,0.2693816624069745,0.5788400929250808,0.00509796,18.0625
centrality_product,25235,1061,0.27470851263007723,0.31006460678405834,0.006799660000000001,4.88841111
upstream_to_member_transaction_count_zscore_anomaly,25235,29,0.7666370101072915,0.6420934764657396,0.006205202213040285,6.596914947922505
member_to_downstream_transaction_count_zscore_anomaly,25235,18,0.7998540688832186,0.6002064180005503,0.06917277485414616,3.120212278522792
upstream_to_member_avg_amount_zscore_anomaly,25235,1144,0.4986823486108789,0.8668019895779868,0.0010072016600764246,16.424376100015603
member_to_downstream_avg_amount_zscore_anomaly,25235,684,0.4844634571672311,0.8748288327475467,0.0019331332494443398,5.752433686413763
loop_type_category_zscore_anomaly,25235,4,0.8764856054941451,0.4814376058325768,0.16674006173963973,2.3328587016365803
loop_path_length_zscore_anomaly,25235,5,0.7706462713417821,0.637275778611288,0.09042480912238311,3.203480823042365
multivariate_anomaly_score,25235,14144,5.903268974082882,15.702264748868993,0.3081376145656351,658.3410617443931
